OBJECTID,City,Block,Lot,Street & Number,BBL,Property Name,LPC_LPNumb,LPC_SiteDe,LPC_SiteSt,LPC_Altern,DesDate,LandmarkTy,URL_REPORT,Shape_Leng,Shape_Area,Type,County
887,Brooklyn,2010,10,520 Clinton Avenue,3020100010,Saint Luke's Episcopal Church,LP-02014,"Borough of Brooklyn, Tax Map Block 2010, Lot 10.",Designated,now the Church of Saint Luke and Saint Matthew,5/12/81,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2014.pdf,729.9588629,27218.27183,church,Kings
898,Brooklyn,3264,1,855-867 Bushwick Avenue,3032640001,Reformed Church of South Bushwick,LP-00168,"Borough of Brooklyn Tax Map Block 3264, Lot 36.",Designated,,3/19/68,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0168.pdf,504.2521122,15348.00479,church,Kings
910,Brooklyn,5102,1,890 Flatbush Avenue,3051020001,"Flatbush Dutch Reformed Church, Expanded Site",LP-00170E,"Borough of Brooklyn Tax Map Block 5102, Lot 1.",Designated,,1/9/79,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0170E.pdf,1259.433105,70312.7242,church,Kings
915,Brooklyn,5102,143,2101-2103 Kenmore Terrace,3051020143,Flatbush Dutch Reformed Church Parsonage,LP-01013,"Borough of Brooklyn Tax Map Block 5102, Lot 143.",Designated,,1/9/79,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1013.pdf,373.8692578,8461.139695,church,Kings
929,Brooklyn,2139,37,179 South 9th Street,3021390037,New England Congregational Church,LP-02009,"Borough of Brooklyn Tax Map Block 2139, Lot 37.",Designated,now Light of the World Church,11/24/81,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2009.pdf,378.2399945,8421.308018,church,Kings
933,Brooklyn,2462,2,334 South 5th Street,3024620002,"Saint Paul's Evangelical Lutheran Church, Sunday School and Parsonage",LP-02418,"Borough of Brooklyn Tax Map Block 2462, Lot 2",Designated,,4/12/11,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2418.pdf,494.722165,13379.01465,church,Kings
1068,Brooklyn,1909,47,230 Classon Avenue,3019090047,Saint Mary's Episcopal Church,LP-02013,"Borough of Brooklyn, Tax Map Block 1909, Lot 47, in part, consisting of the land on which the described building is situated.",Designated,,10/27/81,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2013.pdf,402.8534984,6457.405543,church,Kings
1161,Brooklyn,4307,1,630 New Lots Avenue,3043070001,New Lots Reformed Dutch Church,LP-00169,"Borough of Brooklyn Tax Map Block 4307, Lot 1 SE in part, consisting of the land on which the described building is situated.",Designated,now New Lots Community Church,7/19/66,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0169.pdf,209.4792476,2678.296607,church,Kings
1162,Brooklyn,5102,1,890 Flatbush Avenue,3051020001,Flatbush Dutch Reformed Church,LP-00170,"Borough of Brooklyn Tax Map Block 5102, Lot 1 SE in part, consisting of the land on which the described building is situated.",Amended,,3/15/66,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0170.pdf,312.6216712,4928.711999,church,Kings
1164,Brooklyn,6327,10,"18th Avenue, from 83rd to 84th Streets",3063270010,New Utrecht Reformed Dutch Church,LP-00172,"Borough of Brooklyn Tax Map Block 6327, Lot 10 SE in part, consisting of the land on which the described building is situated.",Amended,,3/15/66,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0172.pdf,245.2049188,3438.3476,church,Kings
1165,Brooklyn,7812,1,Kings Highway at East 40th Street,3078120001,Flatlands Dutch Reformed Church,LP-00177,"Borough of Brooklyn Tax Map Block 7812, Lot 1 NW.",Designated,,7/19/66,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0177.pdf,1101.400854,43148.65715,church,Kings
1269,Brooklyn,345,0,358-366 Court Street and 253-269 President Street,0,South Congregational Church Complex,LP-01245,"Borough of Brooklyn Tax Map Block 345, Lot 31 and 40.",Designated,,3/23/82,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1245.pdf,575.0670215,19181.72736,church,Kings
1294,Brooklyn,1620,0,828 and 826 Greene Avenue,0,Antioch Baptist Church,LP-01790,"Borough of Brooklyn Tax Map Block 1620, Lots 25 and 24.",Designated,originally the Greene Avenue Baptist Church and Church House,11/20/90,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1790.pdf,442.1378271,12143.97446,church,Kings
0,Brooklyn,3306,6,138 Bleecker Street,3033060006,St. Barbara's Roman Catholic Church,LP-01201,"Borough of Brooklyn Tax Map Block 3306, Lot 6 in part",Designated,,12/13/16,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1201.pdf,531.6202559,16706.45113,church,Kings
873,Brooklyn,1984,78,65 Putnam Avenue,3019840078,Lincoln Club,LP-02015,"Borough of Brooklyn, Tax Map Block 1984, Lot 78.",Designated,"now Mechanics Temple, Independent Order of Mechanics of the Western Hemisphere",5/12/81,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2015.pdf,350.3226392,5288.999052,club,Kings
1349,Brooklyn,5103,58,2274 Church Avenue,3051030058,Flatbush District No. 1 School,LP-02285,"Brooklyn Borough Tax Map Block 5103, Lot 58 in part, consisting of the land upon which the described building is situated.",Designated,later Public School 90,11/20/07,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2285.pdf,528.7534058,9143.893404,district,Kings
0,Brooklyn,2446,63,177-185 South 5th Street,3024460063,Williamsburgh Trust Company Building (Later Fifth District Magistrates' Court / Later Holy Trinity Cathedral),LP-00163,"Borough of Brooklyn Tax Map Block 2446, Lot 63",Designated,,8/10/16,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0163.pdf,340.2028622,7024.53664,district,Kings
0,Brooklyn,980,8,"238-246 3rd Street, 365-379 3rd Avenue, and 232-236 3rd Street (aka 361-363 3rd Avenue)",3009800008,Somers Brothers Tinware Factory (later American Can Company),LP-02640,"Borough of Brooklyn Tax Map Block 980, Lot 8 in part",Designated,,10/29/19,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2640.pdf,713.0703596,15956.78339,factory,Kings
1241,Brooklyn,6153,1,Whiting Quadrangle,3061530001,Fort Hamilton Casemate Fort,LP-00953,"Borough of Brooklyn Tax Map Block 6153, Lot 1 in part consisting of the land described above.",Designated,now the Officers' Club,3/8/77,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0953.pdf,2369.058568,298742.4826,fort,Kings
911,Brooklyn,5103,93,35 Snyder Avenue,3051030093,Flatbush Town Hall,LP-00770,"Borough of Brooklyn Tax Map Block 5103, Lot 93.",Designated,,10/16/73,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0770.pdf,698.5342856,29939.29619,hall,Kings
912,Brooklyn,5103,10,899-925 Flatbush Avenue,3051030010,Erasmus Hall High School,LP-02130,"Borough of Brooklyn Tax Map Block 5103, Lot 10.",Designated,,6/24/03,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2130.pdf,1918.5416,187603.9004,hall,Kings
1156,Brooklyn,0,0,209 Joralemon Street,0,Brooklyn City Hall,LP-00147,"Borough of Brooklyn Tax Map Block 139, Lot 1 in part, consisting of the land on which the described building is situated.",Designated,now Brooklyn Borough Hall,4/19/66,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0147.pdf,577.1790042,16756.3364,hall,Kings
1163,Brooklyn,5103,10,in the courtyard of Erasmus Hall High School,3051030010,Erasmus Hall Academy,LP-00171,"Borough of Brooklyn Tax Map Block 5103, Lot 10 in part, consisting of the land on which the described building is situated.",Designated,designated as Erasmus Hall Museum,3/15/66,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0171.pdf,299.0208435,4096.278423,hall,Kings
990,Brooklyn,2023,150,Hospital Road,3020230150,U.S. Naval Hospital,LP-00003,"Borough Brooklyn Tax Map Block 2023 in part, consisting of the land on which the described building is situated,",Designated,,10/14/65,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0003.pdf,778.0721799,19715.6446,hospital,Kings
814,Brooklyn,176,8,296 State Street,3001760008,296 State Street House,LP-00752,"Borough of Brooklyn Tax Map Block 176, Lot 8.",Designated,,11/20/73,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0752.pdf,228.8257755,2197.151452,house,Kings
815,Brooklyn,176,12,304 State Street,3001760012,304 State Street House,LP-00756,"Borough of Brooklyn Tax Map Block 176, Lot 12.",Designated,,11/20/73,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0756.pdf,230.0007881,2250.01739,house,Kings
816,Brooklyn,728,36,4302 4th Avenue,3007280036,18th Police Precinct Station House and Stable,LP-01129,"Borough of Brooklyn Tax Map Block 728, Lot 36.",Designated,"designated as the 68th Police Precinct Station House and Stable, now the Sunset Park School of Music",4/12/83,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1129.pdf,414.3910464,10730.89887,house,Kings
818,Brooklyn,170,44,297 State Street,3001700044,297 State Street House,LP-00747,"Borough of Brooklyn Tax Map Block 170, Lot 44.",Designated,,11/20/73,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0747.pdf,244.9715285,1896.8785,house,Kings
819,Brooklyn,176,21,322 State Street,3001760021,322 State Street House,LP-00765,"Borough of Brooklyn Tax Map Block 176, Lot 21.",Designated,,11/23/73,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0765.pdf,249.6841034,2440.58623,house,Kings
820,Brooklyn,170,45,295 State Street,3001700045,295 State Street House,LP-00746,"Borough of Brooklyn Tax Map Block 170, Lot 45.",Designated,,11/20/73,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0746.pdf,247.1222784,2009.038367,house,Kings
821,Brooklyn,176,11,302 State Street,3001760011,302 State Street House,LP-00755,"Borough of Brooklyn Tax Map Block 176, Lot 11.",Designated,,11/20/73,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0755.pdf,232.5302508,2363.857427,house,Kings
822,Brooklyn,170,43,299 State Street,3001700043,299 State Street House,LP-00748,"Borough of Brooklyn Tax Map Block 170, Lot 43.",Designated,,11/20/73,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0748.pdf,247.1073083,2008.272546,house,Kings
824,Brooklyn,176,20,320 State Street,3001760020,320 State Street House,LP-00764,"Borough of Brooklyn Tax Map Block 176, Lot 20.",Designated,,11/20/73,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0764.pdf,253.3513031,2626.348679,house,Kings
826,Brooklyn,176,5,290 State Street,3001760005,290 State Street House,LP-00749,"Borough of Brooklyn Tax Map Block 176, Lot 5.",Designated,,11/20/73,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0749.pdf,224.4399062,1999.782033,house,Kings
827,Brooklyn,176,19,318 State Street,3001760019,318 State Street House,LP-00763,"Borough of Brooklyn Tax Map Block 176, Lot 19.",Designated,,11/20/73,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0763.pdf,250.3979433,2479.247616,house,Kings
828,Brooklyn,176,14,308 State Street,3001760014,308 State Street House,LP-00758,"Borough of Brooklyn Tax Map Block 176, Lot 14.",Designated,,11/20/73,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0758.pdf,227.9074012,2155.834208,house,Kings
829,Brooklyn,176,7,294 State Street,3001760007,294 State Street House,LP-00751,"Borough of Brooklyn Tax Map Block 176, Lot 7.",Designated,,11/20/73,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0751.pdf,221.3161854,1859.234786,house,Kings
830,Brooklyn,176,15,310 State Street,3001760015,310 State Street House,LP-00759,"Borough of Brooklyn Tax Map Block 176, Lot 15.",Designated,,11/20/73,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0759.pdf,252.4420308,2587.458843,house,Kings
831,Brooklyn,176,9,298 State Street,3001760009,298 State Street House,LP-00753,"Borough of Brooklyn Tax Map Block 176, Lot 9.",Designated,,11/20/73,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0753.pdf,231.718981,2327.350453,house,Kings
832,Brooklyn,655,31,5th Avenue at 25th Street,3006550031,Weir Greenhouse,LP-01197,"Borough of Brooklyn Tax Map Block 655, Lot 31.",Designated,now McGovern-Weir Greenhouse,4/13/82,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1197.pdf,266.167405,4188.347163,house,Kings
833,Brooklyn,170,46,293 State Street,3001700046,293 State Street House,LP-00745,"Borough of Brooklyn Tax Map Block 170, Lot 46.",Designated,,11/20/73,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0745.pdf,245.9078076,1945.717216,house,Kings
834,Brooklyn,127,1,271-301 Cadman Plaza East (Washington Street),3001270001,"United States Post Office and Court House, Brooklyn Central Office",LP-00146,"Borough of Brooklyn Tax Map Block 127, Lot 1.",Designated,,7/19/66,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0146.pdf,1133.366529,78646.72681,house,Kings
835,Brooklyn,2023,100,Evans Street at Little Street,3020230100,Commandant's House,LP-00002,Too long,Designated,,10/14/65,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0002.pdf,1883.14174,103406.187,house,Kings
836,Brooklyn,355,22,440 Clinton Street,3003550022,John Rankin House,LP-00628,"Borough of Brooklyn Tax Map Block 355, Lot 22.",Designated,"also known as the 440 Clinton Street House, now the F. G. Guido Funeral Home",7/14/70,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0628.pdf,321.2574444,6416.580087,house,Kings
837,Brooklyn,598,30,76-86 Van Dyke Street,3005980030,Brooklyn Clay Retort and Fire Brick Works Storehouse,LP-02108,"Borough of Brooklyn Tax Map Block 598, Lot 30.",Designated,,12/18/01,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2108.pdf,558.9032765,18112.23334,house,Kings
838,Brooklyn,176,22,324 State Street,3001760022,324 State Street House,LP-00766,"Borough of Brooklyn Tax Map Block 176, Lot 22.",Designated,,11/20/73,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0766.pdf,251.5371468,2532.416785,house,Kings
839,Brooklyn,724,1,4201 4th Avenue,3007240001,Sunset Park Court House,LP-02096,"Borough of Brooklyn Tax Map 724, Lot 1.",Designated,,6/26/01,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2096.pdf,608.1303322,20423.72862,house,Kings
840,Brooklyn,1004,60,271 9th Street,3010040060,William B. Cronyn House,LP-00997,"Borough of Brooklyn Tax Map Block 1004, Lot 60.",Designated,also known as the 271 Ninth Street House,7/11/78,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0997.pdf,287.6070037,4690.173073,house,Kings
842,Brooklyn,176,6,292 State Street,3001760006,292 State Street House,LP-00750,"Borough of Brooklyn Tax Map Block 176, Lot 6.",Designated,,11/20/73,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0750.pdf,218.3528534,1725.890076,house,Kings
843,Brooklyn,709,19,436 39th Street,3007090019,"Firehouse, Engine Company 28",LP-02525,"Borough of Brooklyn Tax Map Block 709, Lot 19",Designated,now Engine Company 228,2/12/13,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2525.pdf,250.3160262,2436.58672,house,Kings
844,Brooklyn,176,18,316 State Street,3001760018,316 State Street House,LP-00762,"Borough of Brooklyn Tax Map Block 176, Lot 18.",Designated,,11/20/73,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0762.pdf,251.4386902,2532.93488,house,Kings
845,Brooklyn,176,16,312 State Street,3001760016,312 State Street House,LP-00760,"Borough of Brooklyn Tax Map Block 176, Lot 16.",Designated,,11/20/73,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0760.pdf,251.5136717,2539.412309,house,Kings
846,Brooklyn,176,10,300 State Street,3001760010,300 State Street House,LP-00754,"Borough of Brooklyn Tax Map Block 176, Lot 10.",Designated,,11/20/73,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0754.pdf,227.7259123,2147.666991,house,Kings
849,Brooklyn,176,17,314 State Street,3001760017,314 State Street House,LP-00761,"Borough of Brooklyn Tax Map Block 176, Lot 17.",Designated,,11/20/73,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0761.pdf,250.1410184,2469.08405,house,Kings
850,Brooklyn,170,47,291 State Street,3001700047,291 State Street House,LP-00744,"Borough of Brooklyn Tax Map Block 170, Lot 47.",Designated,,11/20/73,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0744.pdf,246.8706387,1995.927481,house,Kings
854,Brooklyn,2058,40,182 to 188 Duffield Street,3020580040,Duffield Street Houses,LP-02089,"Borough of Manhattan Tax Map Block 2058, Lot 40.",Designated,,4/24/01,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2089.pdf,406.8341452,10344.13406,house,Kings
857,Brooklyn,176,13,306 State Street,3001760013,306 State Street House,LP-00757,"Borough of Brooklyn Tax Map Block 176, Lot 13.",Designated,,11/20/73,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0757.pdf,230.5379567,2274.190239,house,Kings
861,Brooklyn,6115,52,119 95th Street,3061150052,Bennet-Farrell-Feldmann House,LP-01966,Too long,Designated,,8/3/99,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1966.pdf,334.303213,6708.455341,house,Kings
862,Brooklyn,6003,52,8200 Narrows Avenue,3060030052,Howard E. and Jessie Jones House,LP-01623,"Borough of Brooklyn Tax Map Block 6003, Lot 52.",Designated,designated as 8200 Narrows Avenue House,3/8/88,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1623.pdf,598.7681638,19792.45751,house,Kings
871,Brooklyn,2019,16,70 Lefferts Place,3020190016,James W. and Lucy S. Elwell House,LP-02215,"Borough of Brooklyn Tax Map Block 2019, Lot 16.",Designated,,12/12/06,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2215.pdf,383.305656,8350.111945,house,Kings
874,Brooklyn,1887,84,136 Clinton Avenue,3018870084,Lefferts-Laidlaw House,LP-02099,"Borough of Brooklyn Tax Map Block 1887, Lot 84.",Designated,,11/13/01,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2099.pdf,349.4929927,6548.778419,house,Kings
875,Brooklyn,1922,1,"220-234 Willoughby Avenue, 171-185 Steuben Street, and 172-186 Emerson Place",3019220001,Pratt Row Houses,LP-02012,Too long,Designated,,12/22/81,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2012.pdf,973.4722062,59650.10579,house,Kings
878,Brooklyn,1356,26,1700 Bergen Street,3013560026,"Houses on Hunterfly Road, 1700 Bergen Street House",LP-00729,"Borough of Brooklyn Tax Map Block 1356, Lot 26.",Designated,"designated as the Houses on Hunterfly Road, now the Weeksville Heritage Center",8/18/70,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0729.pdf,229.4688133,1599.593788,house,Kings
880,Brooklyn,1209,62,1375 Dean Street,3012090062,George B. and Susan Elkins House,LP-02207,"Borough of Brooklyn, Tax Map Block 1209, Lot 62.",Designated,,10/24/06,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2207.pdf,337.1473291,5846.594834,house,Kings
883,Brooklyn,1356,126,1702 Bergen Street,3013560126,"Houses on Hunterfly Road, 1702-04 Bergen Street House",LP-00730,"Borough of Brooklyn Tax Map Block 1356, Lot 126.",Designated,"designated as the Houses on Hunterfly Road, now the Weeksville Heritage Center",8/18/70,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0730.pdf,217.2096014,1657.663273,house,Kings
885,Brooklyn,1943,13,200 Lafayette Avenue,3019430013,Joseph Steele House,LP-00161,"Borough of Brooklyn Tax Map Block 1943, Lot 13.",Designated,,3/19/68,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0161.pdf,309.1143192,5439.829424,house,Kings
886,Brooklyn,1356,28,1708 Bergen Street,3013560028,"Houses on Hunterfly Road, 1706-08 Bergen Street House",LP-00733,"Borough of Brooklyn Tax Map Block 1356, Lot 28.",Designated,"designated as the Houses on Hunterfly Road, now the Weeksville Heritage Center",8/18/70,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0733.pdf,293.7519347,2427.071665,house,Kings
891,Brooklyn,1356,127,1706 Bergen Street,3013560127,"Houses on Hunterfly Road, 1706-08 Bergen Street House",LP-00732,"Borough of Brooklyn Tax Map Block 1356, Lot 127.",Designated,"designated as the Houses on Hunterfly Road, now the Weeksville Heritage Center",8/18/70,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0732.pdf,272.871523,1978.304156,house,Kings
